"comune";"provincia";"anno";"totale";"attivazioni";"cessazioni";"subingressi"
"Municipio XIV";"Comune di Roma";"2012";"0";"0";"0";"0"
"Municipio XV";"Comune di Roma";"2012";"0";"0";"0";"0"
"Acquafondata";"Frosinone";"2011";"0";"0";"0";"0"
"Acuto";"Frosinone";"2011";"0";"0";"0";"0"
"Alatri";"Frosinone";"2011";"11";"0";"0";"0"
"Alvito";"Frosinone";"2011";"1";"0";"0";"0"
"Amaseno";"Frosinone";"2011";"1";"0";"0";"0"
"Anagni";"Frosinone";"2011";"17";"2";"0";"0"
"Aquino";"Frosinone";"2011";"2";"0";"0";"0"
"Arce";"Frosinone";"2011";"7";"0";"0";"0"
"Arnara";"Frosinone";"2011";"0";"0";"0";"0"
"Arpino";"Frosinone";"2011";"3";"1";"0";"0"
"Atina";"Frosinone";"2011";"6";"0";"0";"0"
"Ausonia";"Frosinone";"2011";"2";"0";"0";"0"
"Belmonte Castello";"Frosinone";"2011";"0";"0";"0";"0"
"Boville Ernica";"Frosinone";"2011";"3";"0";"0";"0"
"Broccostella";"Frosinone";"2011";"0";"0";"0";"0"
"Campoli Appennino";"Frosinone";"2011";"1";"0";"0";"0"
"Casalattico";"Frosinone";"2011";"0";"0";"0";"0"
"Casalvieri";"Frosinone";"2011";"1";"0";"0";"0"
"Cassino";"Frosinone";"2011";"20";"3";"0";"0"
"Castelliri";"Frosinone";"2011";"0";"0";"0";"0"
"Castelnuovo Parano";"Frosinone";"2011";"0";"0";"0";"0"
"Castro dei Volsci";"Frosinone";"2011";"0";"0";"0";"0"
"Castrocielo";"Frosinone";"2011";"2";"0";"0";"0"
"Ceccano";"Frosinone";"2011";"4";"0";"0";"0"
"Ceprano";"Frosinone";"2011";"6";"1";"0";"0"
"Cervaro";"Frosinone";"2011";"4";"0";"0";"0"
"Colfelice";"Frosinone";"2011";"0";"0";"0";"0"
"Colle San Magno";"Frosinone";"2011";"0";"0";"0";"0"
"Collepardo";"Frosinone";"2011";"0";"0";"0";"0"
"Coreno Ausonio";"Frosinone";"2011";"0";"0";"0";"0"
"Esperia";"Frosinone";"2011";"1";"0";"0";"0"
"Falvaterra";"Frosinone";"2011";"0";"0";"0";"0"
"Ferentino";"Frosinone";"2011";"5";"0";"0";"0"
"Filettino";"Frosinone";"2011";"0";"0";"0";"0"
"Fiuggi";"Frosinone";"2011";"3";"0";"0";"0"
"Fontana Liri";"Frosinone";"2011";"0";"0";"0";"0"
"Fontechiari";"Frosinone";"2011";"0";"0";"0";"0"
"Frosinone";"Frosinone";"2011";"31";"0";"0";"0"
"Fumone";"Frosinone";"2011";"0";"0";"0";"0"
"Gallinaro";"Frosinone";"2011";"1";"0";"0";"0"
"Giuliano di Roma";"Frosinone";"2011";"2";"0";"0";"0"
"Guarcino";"Frosinone";"2011";"1";"0";"0";"0"
"Isola del Liri";"Frosinone";"2011";"11";"0";"0";"0"
"Monte San Giovanni Campano";"Frosinone";"2011";"7";"0";"0";"0"
"Morolo";"Frosinone";"2011";"1";"1";"0";"0"
"Paliano";"Frosinone";"2011";"2";"0";"0";"0"
"Pastena";"Frosinone";"2011";"1";"0";"0";"0"
"Patrica";"Frosinone";"2011";"5";"1";"0";"0"
"Pescosolido";"Frosinone";"2011";"0";"0";"0";"0"
"Picinisco";"Frosinone";"2011";"0";"0";"0";"0"
"Pico";"Frosinone";"2011";"0";"0";"0";"0"
"Piedimonte San Germano";"Frosinone";"2011";"2";"0";"0";"0"
"Piglio";"Frosinone";"2011";"1";"0";"0";"0"
"Pignataro Interamna";"Frosinone";"2011";"2";"0";"0";"0"
"Pofi";"Frosinone";"2011";"4";"1";"0";"0"
"Pontecorvo";"Frosinone";"2011";"5";"1";"0";"0"
"Posta Fibreno";"Frosinone";"2011";"0";"0";"0";"0"
"Ripi";"Frosinone";"2011";"1";"0";"0";"0"
"Rocca d'Arce";"Frosinone";"2011";"0";"0";"0";"0"
"Roccasecca";"Frosinone";"2011";"4";"1";"0";"0"
"San Biagio Saracinisco";"Frosinone";"2011";"0";"0";"0";"0"
"San Donato Val di Comino";"Frosinone";"2011";"1";"0";"0";"0"
"San Giorgio a Liri";"Frosinone";"2011";"1";"0";"0";"0"
"San Giovanni Incarico";"Frosinone";"2011";"4";"0";"0";"0"
"San Vittore del Lazio";"Frosinone";"2011";"3";"0";"0";"0"
"Sant'Ambrogio sul Garigliano";"Frosinone";"2011";"1";"0";"0";"0"
"Sant'Andrea del Garigliano";"Frosinone";"2011";"0";"0";"0";"0"
"Sant'Apollinare";"Frosinone";"2011";"1";"0";"0";"0"
"Sant'Elia Fiumerapido";"Frosinone";"2011";"1";"0";"0";"0"
"Santopadre";"Frosinone";"2011";"1";"0";"0";"0"
"Serrone";"Frosinone";"2011";"3";"0";"0";"0"
"Settefrati";"Frosinone";"2011";"0";"0";"0";"0"
"Sgurgola";"Frosinone";"2011";"0";"0";"0";"0"
"Sora";"Frosinone";"2011";"10";"1";"0";"0"
"Strangolagalli";"Frosinone";"2011";"2";"0";"0";"0"
"Supino";"Frosinone";"2011";"1";"0";"0";"0"
"Terelle";"Frosinone";"2011";"0";"0";"0";"0"
"Torre Cajetani";"Frosinone";"2011";"2";"1";"0";"0"
"Torrice";"Frosinone";"2011";"0";"0";"0";"0"
"Trevi nel Lazio";"Frosinone";"2011";"0";"0";"0";"0"
"Trivigliano";"Frosinone";"2011";"0";"0";"0";"0"
"Vallecorsa";"Frosinone";"2011";"0";"0";"0";"0"
"Vallemaio";"Frosinone";"2011";"0";"0";"0";"0"
"Vallerotonda";"Frosinone";"2011";"1";"0";"0";"0"
"Veroli";"Frosinone";"2011";"6";"0";"0";"0"
"Vicalvi";"Frosinone";"2011";"0";"0";"0";"0"
"Vico nel Lazio";"Frosinone";"2011";"0";"0";"0";"0"
"Villa Latina";"Frosinone";"2011";"0";"0";"0";"0"
"Villa Santa Lucia";"Frosinone";"2011";"2";"0";"0";"0"
"Villa Santo Stefano";"Frosinone";"2011";"0";"0";"0";"0"
"Viticuso";"Frosinone";"2011";"0";"0";"0";"0"
"Aprilia";"Latina";"2011";"18";"2";"0";"0"
"Bassiano";"Latina";"2011";"0";"0";"0";"0"
"Campodimele";"Latina";"2011";"1";"0";"0";"0"
"Castelforte";"Latina";"2011";"0";"0";"0";"0"
"Cisterna di Latina";"Latina";"2011";"8";"1";"0";"0"
"Cori";"Latina";"2011";"4";"2";"0";"0"
"Fondi";"Latina";"2011";"16";"1";"0";"0"
"Formia";"Latina";"2011";"15";"1";"0";"0"
"Gaeta";"Latina";"2011";"7";"1";"0";"0"
"Itri";"Latina";"2011";"2";"0";"0";"0"
"Latina";"Latina";"2011";"57";"7";"0";"0"
"Lenola";"Latina";"2011";"2";"0";"0";"0"
"Maenza";"Latina";"2011";"0";"0";"0";"0"
"Minturno";"Latina";"2011";"6";"0";"0";"0"
"Monte San Biagio";"Latina";"2011";"0";"0";"0";"0"
"Norma";"Latina";"2011";"1";"0";"0";"0"
"Pontinia";"Latina";"2011";"8";"0";"0";"0"
"Ponza";"Latina";"2011";"1";"0";"0";"0"
"Priverno";"Latina";"2011";"3";"0";"0";"0"
"Prossedi";"Latina";"2011";"2";"0";"0";"0"
"Rocca Massima";"Latina";"2011";"0";"0";"0";"0"
"Roccagorga";"Latina";"2011";"0";"0";"0";"0"
"Roccasecca dei Volsci";"Latina";"2011";"2";"0";"0";"0"
"Sabaudia";"Latina";"2011";"12";"2";"0";"0"
"San Felice Circeo";"Latina";"2011";"4";"1";"0";"0"
"Santi Cosma e Damiano";"Latina";"2011";"4";"0";"0";"0"
"Sermoneta";"Latina";"2011";"1";"0";"0";"0"
"Sezze";"Latina";"2011";"11";"1";"0";"0"
"Sonnino";"Latina";"2011";"4";"0";"0";"0"
"Sperlonga";"Latina";"2011";"3";"0";"0";"0"
"Spigno Saturnia";"Latina";"2011";"2";"0";"0";"0"
"Terracina";"Latina";"2011";"9";"0";"0";"0"
"Ventotene";"Latina";"2011";"1";"0";"0";"0"
"Accumoli";"Rieti";"2011";"1";"0";"0";"0"
"Amatrice";"Rieti";"2011";"1";"0";"0";"0"
"Antrodoco";"Rieti";"2011";"0";"0";"0";"0"
"Ascrea";"Rieti";"2011";"0";"0";"0";"0"
"Belmonte in Sabina";"Rieti";"2011";"0";"0";"0";"0"
"Borbona";"Rieti";"2011";"0";"0";"0";"0"
"Borgo Velino";"Rieti";"2011";"0";"0";"0";"0"
"Borgorose";"Rieti";"2011";"2";"0";"0";"0"
"Cantalice";"Rieti";"2011";"0";"0";"0";"0"
"Cantalupo in Sabina";"Rieti";"2011";"0";"0";"0";"0"
"Casaprota";"Rieti";"2011";"0";"0";"0";"0"
"Casperia";"Rieti";"2011";"0";"0";"0";"0"
"Castel di Tora";"Rieti";"2011";"0";"0";"0";"0"
"Castel Sant'Angelo";"Rieti";"2011";"0";"0";"0";"0"
"Castelnuovo di Farfa";"Rieti";"2011";"0";"0";"0";"0"
"Cittaducale";"Rieti";"2011";"3";"0";"0";"0"
"Cittareale";"Rieti";"2011";"1";"0";"0";"0"
"Collalto Sabino";"Rieti";"2011";"0";"0";"0";"0"
"Colle di Tora";"Rieti";"2011";"0";"0";"0";"0"
"Collegiove";"Rieti";"2011";"0";"0";"0";"0"
"Collevecchio";"Rieti";"2011";"1";"0";"0";"0"
"Colli sul Velino";"Rieti";"2011";"0";"0";"0";"0"
"Concerviano";"Rieti";"2011";"0";"0";"0";"0"
"Configni";"Rieti";"2011";"1";"0";"0";"0"
"Contigliano";"Rieti";"2011";"1";"0";"0";"0"
"Cottanello";"Rieti";"2011";"3";"0";"0";"0"
"Fara in Sabina";"Rieti";"2011";"4";"0";"0";"0"
"Fiamignano";"Rieti";"2011";"0";"0";"0";"0"
"Forano";"Rieti";"2011";"1";"0";"0";"0"
"Frasso Sabino";"Rieti";"2011";"0";"0";"0";"0"
"Greccio";"Rieti";"2011";"1";"0";"0";"0"
"Labro";"Rieti";"2011";"0";"0";"0";"0"
"Leonessa";"Rieti";"2011";"1";"0";"0";"0"
"Longone Sabino";"Rieti";"2011";"0";"0";"0";"0"
"Magliano Sabina";"Rieti";"2011";"0";"0";"0";"0"
"Marcetelli";"Rieti";"2011";"0";"0";"0";"0"
"Micigliano";"Rieti";"2011";"0";"0";"0";"0"
"Mompeo";"Rieti";"2011";"0";"0";"0";"0"
"Montasola";"Rieti";"2011";"0";"0";"0";"0"
"Monte San Giovanni in Sabina";"Rieti";"2011";"0";"0";"0";"0"
"Montebuono";"Rieti";"2011";"2";"0";"0";"0"
"Monteleone Sabino";"Rieti";"2011";"0";"0";"0";"0"
"Montenero Sabino";"Rieti";"2011";"0";"0";"0";"0"
"Montopoli di Sabina";"Rieti";"2011";"1";"0";"0";"0"
"Morro Reatino";"Rieti";"2011";"0";"0";"0";"0"
"Nespolo";"Rieti";"2011";"0";"0";"0";"0"
"Orvinio";"Rieti";"2011";"0";"0";"0";"0"
"Paganico";"Rieti";"2011";"0";"0";"0";"0"
"Pescorocchiano";"Rieti";"2011";"0";"0";"0";"0"
"Petrella Salto";"Rieti";"2011";"0";"0";"0";"0"
"Poggio Bustone";"Rieti";"2011";"1";"0";"0";"0"
"Poggio Catino";"Rieti";"2011";"0";"0";"0";"0"
"Poggio Mirteto";"Rieti";"2011";"3";"1";"0";"0"
"Poggio Moiano";"Rieti";"2011";"0";"0";"0";"0"
"Poggio Nativo";"Rieti";"2011";"1";"0";"0";"0"
"Poggio San Lorenzo";"Rieti";"2011";"0";"0";"0";"0"
"Posta";"Rieti";"2011";"2";"1";"0";"0"
"Pozzaglia Sabina";"Rieti";"2011";"0";"0";"0";"0"
"Rieti";"Rieti";"2011";"24";"2";"0";"0"
"Rivodutri";"Rieti";"2011";"0";"0";"0";"0"
"Rocca Sinibalda";"Rieti";"2011";"0";"0";"0";"0"
"Roccantica";"Rieti";"2011";"0";"0";"0";"0"
"Salisano";"Rieti";"2011";"0";"0";"0";"0"
"Scandriglia";"Rieti";"2011";"0";"0";"0";"0"
"Selci";"Rieti";"2011";"1";"0";"0";"0"
"Stimigliano";"Rieti";"2011";"0";"0";"0";"0"
"Tarano";"Rieti";"2011";"1";"0";"0";"0"
"Toffia";"Rieti";"2011";"0";"0";"0";"0"
"Torri in Sabina";"Rieti";"2011";"1";"0";"0";"0"
"Torricella in Sabina";"Rieti";"2011";"0";"0";"0";"0"
"Turania";"Rieti";"2011";"0";"0";"0";"0"
"Vacone";"Rieti";"2011";"0";"0";"0";"0"
"Varco Sabino";"Rieti";"2011";"0";"0";"0";"0"
"Affile";"Roma";"2011";"0";"0";"0";"0"
"Agosta";"Roma";"2011";"2";"0";"0";"0"
"Albano Laziale";"Roma";"2011";"8";"0";"0";"0"
"Allumiere";"Roma";"2011";"0";"0";"0";"0"
"Anguillara Sabazia";"Roma";"2011";"3";"0";"0";"0"
"Anticoli Corrado";"Roma";"2011";"0";"0";"0";"0"
"Anzio";"Roma";"2011";"19";"2";"0";"0"
"Arcinazzo Romano";"Roma";"2011";"0";"0";"0";"0"
"Ardea";"Roma";"2011";"11";"0";"0";"0"
"Ariccia";"Roma";"2011";"3";"0";"0";"0"
"Arsoli";"Roma";"2011";"0";"0";"0";"0"
"Artena";"Roma";"2011";"6";"0";"0";"0"
"Bellegra";"Roma";"2011";"0";"0";"0";"0"
"Bracciano";"Roma";"2011";"7";"0";"0";"0"
"Camerata Nuova";"Roma";"2011";"0";"0";"0";"0"
"Campagnano di Roma";"Roma";"2011";"4";"0";"0";"0"
"Canale Monterano";"Roma";"2011";"1";"0";"0";"0"
"Canterano";"Roma";"2011";"0";"0";"0";"0"
"Capena";"Roma";"2011";"3";"0";"0";"0"
"Capranica Prenestina";"Roma";"2011";"0";"0";"0";"0"
"Carpineto Romano";"Roma";"2011";"1";"0";"0";"0"
"Casape";"Roma";"2011";"0";"0";"0";"0"
"Castel Gandolfo";"Roma";"2011";"3";"0";"0";"0"
"Castel Madama";"Roma";"2011";"2";"0";"0";"0"
"Castel San Pietro Romano";"Roma";"2011";"0";"0";"0";"0"
"Castelnuovo di Porto";"Roma";"2011";"7";"0";"0";"0"
"Cave";"Roma";"2011";"7";"0";"0";"0"
"Cerreto Laziale";"Roma";"2011";"0";"0";"0";"0"
"Cervara di Roma";"Roma";"2011";"0";"0";"0";"0"
"Cerveteri";"Roma";"2011";"6";"1";"0";"0"
"Ciampino";"Roma";"2011";"10";"1";"0";"0"
"Ciciliano";"Roma";"2011";"2";"1";"0";"0"
"Cineto Romano";"Roma";"2011";"0";"0";"0";"0"
"Civitavecchia";"Roma";"2011";"18";"0";"0";"0"
"Civitella San Paolo";"Roma";"2011";"0";"0";"0";"0"
"Colleferro";"Roma";"2011";"10";"1";"0";"0"
"Colonna";"Roma";"2011";"1";"0";"0";"0"
"Fiano Romano";"Roma";"2011";"8";"1";"0";"0"
"Filacciano";"Roma";"2011";"0";"0";"0";"0"
"Fiumicino";"Roma";"2011";"21";"2";"0";"0"
"Fonte Nuova";"Roma";"2011";"4";"2";"0";"0"
"Formello";"Roma";"2011";"2";"0";"0";"0"
"Frascati";"Roma";"2011";"11";"0";"0";"0"
"Gallicano nel Lazio";"Roma";"2011";"4";"0";"0";"0"
"Gavignano";"Roma";"2011";"0";"0";"0";"0"
"Genazzano";"Roma";"2011";"1";"0";"0";"0"
"Genzano di Roma";"Roma";"2011";"13";"1";"0";"0"
"Gerano";"Roma";"2011";"0";"0";"0";"0"
"Gorga";"Roma";"2011";"0";"0";"0";"0"
"Grottaferrata";"Roma";"2011";"2";"0";"0";"0"
"Guidonia Montecelio";"Roma";"2011";"22";"3";"0";"0"
"Jenne";"Roma";"2011";"0";"0";"0";"0"
"Labico";"Roma";"2011";"2";"0";"0";"0"
"Ladispoli";"Roma";"2011";"11";"1";"0";"0"
"Lanuvio";"Roma";"2011";"4";"0";"0";"0"
"Lariano";"Roma";"2011";"2";"0";"0";"0"
"Licenza";"Roma";"2011";"0";"0";"0";"0"
"Magliano Romano";"Roma";"2011";"0";"0";"0";"0"
"Mandela";"Roma";"2011";"0";"0";"0";"0"
"Manziana";"Roma";"2011";"4";"0";"0";"0"
"Marano Equo";"Roma";"2011";"0";"0";"0";"0"
"Marcellina";"Roma";"2011";"4";"0";"0";"0"
"Marino";"Roma";"2011";"9";"0";"0";"0"
"Mazzano Romano";"Roma";"2011";"0";"0";"0";"0"
"Mentana";"Roma";"2011";"5";"0";"0";"0"
"Monte Porzio Catone";"Roma";"2011";"2";"0";"0";"0"
"Montecompatri";"Roma";"2011";"2";"0";"0";"0"
"Monteflavio";"Roma";"2011";"0";"0";"0";"0"
"Montelanico";"Roma";"2011";"1";"0";"0";"0"
"Montelibretti";"Roma";"2011";"1";"0";"0";"0"
"Monterotondo";"Roma";"2011";"5";"0";"0";"0"
"Montorio Romano";"Roma";"2011";"0";"0";"0";"0"
"Moricone";"Roma";"2011";"2";"0";"0";"0"
"Morlupo";"Roma";"2011";"2";"0";"0";"0"
"Nazzano";"Roma";"2011";"1";"0";"0";"0"
"Nemi";"Roma";"2011";"0";"0";"0";"0"
"Nerola";"Roma";"2011";"2";"0";"0";"0"
"Nettuno";"Roma";"2011";"15";"3";"0";"0"
"Olevano Romano";"Roma";"2011";"0";"0";"0";"0"
"Palestrina";"Roma";"2011";"5";"0";"0";"0"
"Palombara Sabina";"Roma";"2011";"5";"1";"0";"0"
"Percile";"Roma";"2011";"0";"0";"0";"0"
"Pisoniano";"Roma";"2011";"0";"0";"0";"0"
"Poli";"Roma";"2011";"1";"0";"0";"0"
"Pomezia";"Roma";"2011";"16";"2";"0";"0"
"Ponzano Romano";"Roma";"2011";"1";"0";"0";"0"
"Riano";"Roma";"2011";"1";"0";"0";"0"
"Rignano Flaminio";"Roma";"2011";"0";"0";"0";"0"
"Riofreddo";"Roma";"2011";"0";"0";"0";"0"
"Rocca Canterano";"Roma";"2011";"0";"0";"0";"0"
"Rocca di Cave";"Roma";"2011";"0";"0";"0";"0"
"Rocca di Papa";"Roma";"2011";"3";"0";"0";"0"
"Rocca Priora";"Roma";"2011";"1";"0";"0";"0"
"Rocca Santo Stefano";"Roma";"2011";"0";"0";"0";"0"
"Roccagiovine";"Roma";"2011";"0";"0";"0";"0"
"Roiate";"Roma";"2011";"0";"0";"0";"0"
"Roviano";"Roma";"2011";"1";"0";"0";"0"
"Sacrofano";"Roma";"2011";"0";"0";"0";"0"
"Sambuci";"Roma";"2011";"0";"0";"0";"0"
"San Cesareo";"Roma";"2011";"9";"2";"0";"0"
"San Gregorio da Sassola";"Roma";"2011";"1";"0";"0";"0"
"San Polo dei Cavalieri";"Roma";"2011";"1";"0";"0";"0"
"San Vito Romano";"Roma";"2011";"0";"0";"0";"0"
"Santa Marinella";"Roma";"2011";"8";"0";"0";"0"
"Sant'Angelo Romano";"Roma";"2011";"4";"0";"0";"0"
"Sant'Oreste";"Roma";"2011";"0";"0";"0";"0"
"Saracinesco";"Roma";"2011";"0";"0";"0";"0"
"Segni";"Roma";"2011";"2";"0";"0";"0"
"Subiaco";"Roma";"2011";"2";"0";"0";"0"
"Tivoli";"Roma";"2011";"13";"0";"0";"0"
"Tolfa";"Roma";"2011";"6";"1";"0";"0"
"Torrita Tiberina";"Roma";"2011";"0";"0";"0";"0"
"Trevignano Romano";"Roma";"2011";"1";"0";"0";"0"
"Vallepietra";"Roma";"2011";"0";"0";"0";"0"
"Vallinfreda";"Roma";"2011";"0";"0";"0";"0"
"Valmontone";"Roma";"2011";"10";"0";"0";"0"
"Velletri";"Roma";"2011";"17";"2";"0";"0"
"Vicovaro";"Roma";"2011";"1";"0";"0";"0"
"Vivaro Romano";"Roma";"2011";"0";"0";"0";"0"
"Zagarolo";"Roma";"2011";"5";"0";"0";"0"
"Acquapendente";"Viterbo";"2011";"4";"0";"0";"0"
"Arlena di Castro";"Viterbo";"2011";"1";"0";"0";"0"
"Bagnoregio";"Viterbo";"2011";"1";"0";"0";"0"
"Barbarano Romano";"Viterbo";"2011";"1";"1";"0";"0"
"Bassano in Teverina";"Viterbo";"2011";"2";"0";"0";"0"
"Bassano Romano";"Viterbo";"2011";"2";"0";"0";"0"
"Blera";"Viterbo";"2011";"0";"0";"0";"0"
"Bolsena";"Viterbo";"2011";"3";"1";"0";"0"
"Bomarzo";"Viterbo";"2011";"1";"0";"0";"0"
"Calcata";"Viterbo";"2011";"0";"0";"0";"0"
"Canepina";"Viterbo";"2011";"2";"0";"0";"0"
"Canino";"Viterbo";"2011";"1";"0";"0";"0"
"Capodimonte";"Viterbo";"2011";"1";"0";"0";"0"
"Capranica";"Viterbo";"2011";"3";"0";"0";"0"
"Caprarola";"Viterbo";"2011";"1";"0";"0";"0"
"Carbognano";"Viterbo";"2011";"1";"0";"0";"0"
"Castel Sant'Elia";"Viterbo";"2011";"0";"0";"0";"0"
"Castiglione in Teverina";"Viterbo";"2011";"2";"0";"0";"0"
"Celleno";"Viterbo";"2011";"0";"0";"0";"0"
"Cellere";"Viterbo";"2011";"1";"0";"0";"0"
"Civita Castellana";"Viterbo";"2011";"12";"1";"0";"0"
"Civitella d'Agliano";"Viterbo";"2011";"0";"0";"0";"0"
"Corchiano";"Viterbo";"2011";"1";"0";"0";"0"
"Fabrica di Roma";"Viterbo";"2011";"2";"0";"0";"0"
"Faleria";"Viterbo";"2011";"1";"0";"0";"0"
"Farnese";"Viterbo";"2011";"0";"0";"0";"0"
"Gallese";"Viterbo";"2011";"1";"0";"0";"0"
"Gradoli";"Viterbo";"2011";"1";"0";"0";"0"
"Graffignano";"Viterbo";"2011";"0";"0";"0";"0"
"Grotte di Castro";"Viterbo";"2011";"1";"0";"0";"0"
"Ischia di Castro";"Viterbo";"2011";"1";"0";"0";"0"
"Latera";"Viterbo";"2011";"0";"0";"0";"0"
"Lubriano";"Viterbo";"2011";"1";"0";"0";"0"
"Marta";"Viterbo";"2011";"2";"0";"0";"0"
"Montalto di Castro";"Viterbo";"2011";"4";"0";"0";"0"
"Monte Romano";"Viterbo";"2011";"0";"0";"0";"0"
"Montefiascone";"Viterbo";"2011";"7";"1";"0";"0"
"Monterosi";"Viterbo";"2011";"0";"0";"0";"0"
"Nepi";"Viterbo";"2011";"8";"0";"0";"0"
"Onano";"Viterbo";"2011";"0";"0";"0";"0"
"Oriolo Romano";"Viterbo";"2011";"2";"0";"0";"0"
"Orte";"Viterbo";"2011";"6";"1";"0";"0"
"Piansano";"Viterbo";"2011";"0";"0";"0";"0"
"Proceno";"Viterbo";"2011";"0";"0";"0";"0"
"Ronciglione";"Viterbo";"2011";"4";"1";"0";"0"
"San Lorenzo Nuovo";"Viterbo";"2011";"2";"0";"0";"0"
"Soriano nel Cimino";"Viterbo";"2011";"5";"1";"0";"0"
"Sutri";"Viterbo";"2011";"1";"0";"0";"0"
"Tarquinia";"Viterbo";"2011";"6";"0";"0";"0"
"Tessennano";"Viterbo";"2011";"0";"0";"0";"0"
"Tuscania";"Viterbo";"2011";"1";"0";"0";"0"
"Valentano";"Viterbo";"2011";"1";"0";"0";"0"
"Vallerano";"Viterbo";"2011";"0";"0";"0";"0"
"Vasanello";"Viterbo";"2011";"1";"0";"0";"0"
"Vejano";"Viterbo";"2011";"0";"0";"0";"0"
"Vetralla";"Viterbo";"2011";"6";"1";"0";"0"
"Vignanello";"Viterbo";"2011";"2";"0";"0";"0"
"Villa San Giovanni in Tuscia";"Viterbo";"2011";"0";"0";"0";"0"
"Viterbo";"Viterbo";"2011";"24";"1";"0";"0"
"Vitorchiano";"Viterbo";"2011";"5";"0";"0";"0"
"Roma";"Comune di Roma";"2011";"742";"50";"0";"0"
"Provincia Frosinone";"Frosinone";"2011";"221";"14";"0";"0"
"Provincia Latina";"Latina";"2011";"204";"19";"0";"0"
"Provincia Rieti";"Rieti";"2011";"58";"4";"0";"0"
"Provincia Roma";"Roma";"2011";"410";"27";"0";"0"
"Provincia Viterbo";"Viterbo";"2011";"135";"9";"0";"0"
"Regione Lazio";"Regione Lazio";"2011";"1028";"73";"0";"0"
"Municipio I";"Comune di Roma";"2011";"0";"0";"0";"0"
"Municipio II";"Comune di Roma";"2011";"0";"0";"0";"0"
"Municipio III";"Comune di Roma";"2011";"0";"0";"0";"0"
"Municipio IV";"Comune di Roma";"2011";"0";"0";"0";"0"
"Municipio V";"Comune di Roma";"2011";"0";"0";"0";"0"
"Municipio VI";"Comune di Roma";"2011";"0";"0";"0";"0"
"Municipio VII";"Comune di Roma";"2011";"0";"0";"0";"0"
"Municipio VIII";"Comune di Roma";"2011";"0";"0";"0";"0"
"Municipio IX";"Comune di Roma";"2011";"0";"0";"0";"0"
"Municipio X";"Comune di Roma";"2011";"0";"0";"0";"0"
"Municipio XI";"Comune di Roma";"2011";"0";"0";"0";"0"
"Municipio XII";"Comune di Roma";"2011";"0";"0";"0";"0"
"Municipio XIII";"Comune di Roma";"2011";"0";"0";"0";"0"
"Municipio XIV";"Comune di Roma";"2011";"0";"0";"0";"0"
"Municipio XV";"Comune di Roma";"2011";"0";"0";"0";"0"
